seed,algorithm,success,rmse,trajectoryCost,meanSolveTime,maxSolveTime,totalSolveTime,wheelSpeedViolationRatio,maxWheelSpeedViolation,steeringRateViolationRatio,maxSteeringRateViolation,successRate,elapsedTime
1,e-lmpc,1,0.0211100564681945,12.4291715113286,0.00760358846153846,0.2481393,1.3838531,0,0,0,9.61685621980735e-06,1,2.3621582
2,e-lmpc,1,0.0516293992639282,30.9706543299582,0.00627917086614173,0.0175595,0.7974547,0,0,0,7.66336734514539e-07,1,0.9985348
3,e-lmpc,1,0.0368957526007467,39.9186525662346,0.00746436847826087,0.015966,0.6867219,0.0489130434782609,0.00402220937854381,0,4.85645408332402e-07,1,0.8725261
4,e-lmpc,1,0.01304372640908,14.1244190747014,0.00633787323232323,0.0171358,1.2548989,0,0,0,2.93963218211957e-07,1,1.547789
5,e-lmpc,1,0.0796806304249067,140.56299478742,0.00694343513513514,0.0150381,0.5138142,0.0405405405405405,0.0141891883554619,0,9.92275484890115e-07,1,0.8104549
6,e-lmpc,1,0.0282734159046125,11.2144333182079,0.00684991094890511,0.0141521,0.9384378,0,0,0,1.33430578586058e-07,1,1.163252
7,e-lmpc,1,0.0576850704463639,110.716772877076,0.00967410333333333,0.0154293,0.5804462,0.0333333333333333,0.00593577840596993,0,6.22273638839488e-07,1,0.7414194
8,e-lmpc,1,0.0153699974506087,10.8134062105171,0.00689490700636943,0.0137913,1.0825004,0,0,0,3.59371199465386e-10,1,1.354066
9,e-lmpc,1,0.046934522586699,94.4764354345437,0.00609992678571428,0.0129848,0.3415959,0.03125,0.00400470148465093,0,2.96147931067026e-07,1,0.4513268
10,e-lmpc,1,0.0604461421448496,61.1197180833258,0.0054134157480315,0.0130208,0.6875038,0,0,0,7.77929589190762e-07,1,0.8691807
11,e-lmpc,1,0.0234549039506269,12.1505563867538,0.00636520726256983,0.0175238,1.1393721,0,0,0,1.8056737260963e-07,1,1.4162845
12,e-lmpc,1,0.014111668187152,10.4047020663683,0.00717169101123596,0.0145711,1.276561,0,0,0,1.29999904174838e-08,1,1.5850374
13,e-lmpc,1,0.0362983633349764,17.2732711872651,0.00721291173184358,0.0159496,1.2911112,0,0,0,1.27334688571068e-07,1,1.6006744
14,e-lmpc,1,0.105639633041055,168.900254285053,0.00646574509803921,0.0144068,0.329753,0.0980392156862745,0.00950772302735636,0,2.8452152989189e-07,1,0.4241447
15,e-lmpc,1,0.0204047337329869,11.8047928940477,0.00691055333333333,0.0135674,1.2438996,0,0,0,7.13064736146407e-08,1,1.5497755
16,e-lmpc,1,0.0818170043966303,114.27500875284,0.00613350945945946,0.0106095,0.4538797,0.121621621621622,0.00192101233250419,0,3.06654140302953e-07,1,0.5665309
17,e-lmpc,1,0.0199328018709138,11.8198058470138,0.00712405989010989,0.0136054,1.2965789,0,0,0.00552486187845304,212.807240633862,1,1.624444
18,e-lmpc,1,0.11858591822984,104.517492618554,0.00685330943396226,0.0134221,0.3632254,0.0141509433962264,0.016767128054445,0,8.86513547015966e-07,1,0.4739463
