seed,algorithm,success,rmse,trajectoryCost,meanSolveTime,maxSolveTime,totalSolveTime,wheelSpeedViolationRatio,maxWheelSpeedViolation,steeringRateViolationRatio,maxSteeringRateViolation,successRate,elapsedTime
1,interior-point,1,0.0125259975069746,9.35536083472343,0.180801956043956,3.0549137,32.905956,0,0,0.00276243093922652,297.279194270952,1,33.1863517
2,interior-point,1,0.0260532903599426,9.95933173465936,0.178687575590551,2.098137,22.6933221,0,0,0.00793650793650794,7.67903342297168,1,22.8287925
3,interior-point,1,0.0354429567056686,21.917409138308,0.113544882608696,0.1634277,10.4461292,0,0,0,0,1,10.5485925
4,interior-point,1,0.012646748010223,20.3568132809042,0.137393534343434,1.8950063,27.2039198,0,0,0.0050761421319797,156.872660238696,1,27.391431
5,interior-point,1,0.0671538477295347,75.5280179378212,0.149339764864865,0.7299026,11.0511426,0,0,0.00342465753424658,139.881354863354,1,11.163797
6,interior-point,1,0.0174133539325243,9.33937312443769,0.147441343065693,2.3695419,20.199464,0,0,0.00735294117647059,163.336392591138,1,20.3445177
7,interior-point,1,0.0641334345886646,83.2018885686077,0.143008335,0.2615166,8.5805001,0,0,0,0,1,8.6490538
8,interior-point,1,0.0153730065758097,10.9880556536925,0.164836676433121,0.3521597,25.8793582,0,0,0,0,1,26.0628423
9,interior-point,1,0.0557402404190069,63.4117598896402,0.160585067857143,0.3132639,8.9927638,0,0,0,0,1,9.0509287
10,interior-point,1,0.026033362906391,11.1844557085095,0.14964468503937,2.6036995,19.004875,0,0,0.00793650793650794,25.7899299780619,1,19.1233631
11,interior-point,1,0.0185605369299649,11.1933487097298,0.129658067039106,1.9384758,23.208794,0,0,0.00561797752808989,151.839481742802,1,23.363788
12,interior-point,1,0.0180504619174463,8.96824501254709,0.15200008258427,1.975416,27.0560147,0,0,0.00564971751412429,279.432556941897,1,27.2159088
13,interior-point,1,0.0243917908182164,14.3162446014585,0.144510968156425,2.3402603,25.8674633,0,0,0,0,1,26.0323707
14,interior-point,1,0.0894830380093284,113.689379450811,0.302274794117647,2.8925806,15.4160145,0,0,0.01,169.874696856562,1,15.4812879
15,interior-point,1,0.0137394624878008,11.1394558514711,0.266449306666667,3.9389853,47.9608752,0,0,0.00837988826815642,206.781520080444,1,48.1886035
16,interior-point,1,0.0917807960786642,98.8379863287303,0.177574144594595,0.3837124,13.1404867,0,0,0,0,1,13.2223324
17,interior-point,1,0.0174814906409054,10.03929609293,0.205434656043956,2.9804509,37.3891074,0,0,0,0,1,37.6006147
18,interior-point,1,0.137275932605761,85.1665760042574,0.183967403773585,0.2574734,9.7502724,0,0,0,0,1,9.8164671
19,interior-point,1,0.0430077312547043,28.6368431208021,0.176700967058824,0.2686842,15.0195822,0,0,0,0,1,15.1275347
20,interior-point,1,0.0153352656724507,12.7533485034962,0.222916948876405,0.366539,39.6792169,0,0,0,0,1,39.906292
21,interior-point,1,0.0542862183183503,47.7391163790361,0.254456145454545,3.8902322,19.5931232,0,0,0,0,1,19.7056355
22,interior-point,1,0.0190471023996518,9.98263367369837,0.251931749382716,4.0543262,40.8129434,0,0,0.0015527950310559,270.063664727008,1,40.9860775
23,interior-point,1,0.0193673681810858,11.29728968692,0.169646409473684,0.2636477,16.1164089,0,0,0,0,1,16.2270664
24,interior-point,1,0.0156575279328353,15.0352631849405,0.179752968648649,3.1250745,33.2542992,0,0,0,0,1,33.4530751
25,interior-point,1,0.0243172026237319,9.40169611021204,0.169087455072464,0.3643269,23.3340688,0,0,0,0,1,23.4892301
26,interior-point,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.3981217
27,interior-point,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.326402
28,interior-point,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.3214658
29,interior-point,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.2886586
30,interior-point,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.3095415
31,interior-point,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.2000374
32,interior-point,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.2869244
33,interior-point,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.2645774
34,interior-point,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.2958722
35,interior-point,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.2697608
36,interior-point,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0.3240458
