seed,algorithm,success,rmse,trajectoryCost,meanSolveTime,maxSolveTime,totalSolveTime,wheelSpeedViolationRatio,maxWheelSpeedViolation,steeringRateViolationRatio,maxSteeringRateViolation,successRate,elapsedTime
1,proposed-3iter,1,0.0215298566007244,9.78901320275562,8.49201722912088,15.9570656,1545.5471357,0,0,0,0,1,1546.1858714
2,proposed-3iter,1,0.0532456644847158,21.5057166507524,9.45077567716536,77.4971559,1200.248511,0,0,0,0,1,1200.7711698
3,proposed-3iter,1,0.0428216695114606,23.561370399648,8.7144490923913,10.5790293,801.7293165,0,1.40789868652291e-09,0,0,1,801.9615072
4,proposed-3iter,1,0.014413534586175,16.5954452855173,8.19226382979798,20.1917007,1622.0682383,0,0,0,0,1,1622.5522021
5,proposed-3iter,1,0.175007361236756,195.267184435236,7.92604149864865,17.8279014,586.5270709,0,1.88293824976427e-13,0,0,1,586.8707713
6,proposed-3iter,1,0.0328673364980874,11.9089649054713,7.89707586058394,9.58186,1081.8993929,0,0,0,0,1,1082.0743434
7,proposed-3iter,1,0.0846832733024046,94.9930472106298,26.51680383,1123.759154,1591.0082298,0,4.01545463546427e-12,0,0,1,1591.0972656
8,proposed-3iter,1,0.0164153281574131,11.3546373625471,7.63207703248408,9.6783477,1198.2360941,0,0,0,0,1,1198.4183773
9,proposed-3iter,1,0.0583726917176581,62.6157533946154,472.837627701786,26050.9348052,26478.9071513,0,0,0,0,1,26479.0589499
10,proposed-3iter,1,0.0688429021467363,53.3174256627038,7.27451271889764,13.0309029,923.8631153,0,0,0,0,1,924.0108073
11,proposed-3iter,1,0.0274539786102318,13.7405879224456,64.5026795703911,9191.6783309,11545.9796431,0,0,0,0,1,11546.2408142
12,proposed-3iter,1,0.0142644374449062,8.6402630341479,9.54143645842697,267.2791228,1698.3756896,0,0,0,2.80013362541354e-06,1,1698.6022599
13,proposed-3iter,1,0.0405337926388055,19.1107301845168,7.93746944916201,9.8447645,1420.8070314,0,0,0,5.27282880824487e-06,1,1421.0322775
14,proposed-3iter,1,0.195699873463763,193.227765195642,8.04920366862745,9.6429948,410.5093871,0,6.05747452198102e-10,0,0,1,410.5885015
15,proposed-3iter,1,0.0232505136898343,9.95006311936363,7.66751291555556,9.4959106,1380.1523248,0,0,0,0,1,1380.3652872
16,proposed-3iter,1,0.0911344004103453,97.6341991053336,7.48895909864865,9.2609369,554.1829733,0,0,0,0,1,554.2829455
17,proposed-3iter,1,0.0332710304372303,14.3478975674031,7.4835511956044,9.8770671,1362.0063176,0,0,0,0,1,1362.2038071
18,proposed-3iter,1,0.143705084812831,89.0405367366377,8.76147418490566,10.6354929,464.3581318,0,0,0,0,1,464.4386823
19,proposed-3iter,1,0.0444206067213953,30.3178424123396,7.470587,9.2739315,634.999895,0,0,0,0,1,635.1028409
20,proposed-3iter,1,0.0158118665922517,12.9144496943943,19.6268649134831,1890.0701182,3493.5819546,0,0,0,0,1,3493.8187687
21,proposed-3iter,1,0.0699510853057391,45.9300071695576,31.2775347961039,1563.8741997,2408.3701793,0,0,0,0,1,2408.515617
22,proposed-3iter,1,0.0279092530954185,10.9532570716861,8.25436429135802,13.8648672,1337.2070152,0,0,0,0,1,1337.4115045
23,proposed-3iter,1,0.0227344178168538,11.8190384546951,7.62502270842105,8.7552187,724.3771573,0,0,0,0,1,724.5027203
24,proposed-3iter,1,0.0193575790027704,14.4763463057259,7.4843277627027,8.735577,1384.6006361,0,0,0,0,1,1384.8067755
25,proposed-3iter,1,0.0254988958733223,9.86031279080906,7.74888081956522,9.1202621,1069.3455531,0,0,0,3.7782897166494e-07,1,1069.5056948
